"ma_id","review_id","analysis_id","effect_type","k","theta","se_std","se_hksj","se_ratio","ci_std_lo","ci_std_hi","ci_hksj_lo","ci_hksj_hi","ci_width_ratio","p_std","p_hksj","sig_std","sig_hksj","conclusion_changed","tau2","I2","R","R_cat","k_cat","k_stratum","R_ord","R_collapsed"
"CD000028_pub4_1","CD000028_pub4",1,"logRR",36,-0.0886019198309967,0.034076150252241,0.0349666444966169,1.02613247792911,-0.155389947057165,-0.0218138926048289,-0.15958798204789,-0.0176158576141036,1.06285610108694,0.00931924412873601,0.0159111254923112,TRUE,TRUE,FALSE,0.0138077098344447,40.8078969522809,0.759524714679224,"High","21+","Adequate (k>=5)",4,"High/Excellent"
"CD000028_pub4_2","CD000028_pub4",2,"logRR",42,-0.337208788988785,0.0326575666897331,0.0279063769812216,0.85451488919396,-0.401216443523377,-0.273201134454193,-0.393566860638944,-0.280850717338626,0.880489561130559,5.39833784602904e-25,4.29096469651142e-15,TRUE,TRUE,FALSE,0.00495047779684164,12.6005175383653,0.771452531060197,"High","21+","Adequate (k>=5)",4,"High/Excellent"
"CD000028_pub4_3","CD000028_pub4",3,"logRR",36,-0.357024176809187,0.0410712875955592,0.0382387874802082,0.931034543079257,-0.43752242129517,-0.276525932323204,-0.434653042439437,-0.279395311178936,0.964354764826807,3.53638200351206e-18,4.94952423746354e-11,TRUE,TRUE,FALSE,0.0187344772715496,40.3562243839785,0.73465934805129,"High","21+","Adequate (k>=5)",4,"High/Excellent"
"CD000028_pub4_4","CD000028_pub4",4,"logRR",32,-0.320238228151663,0.0400541989943664,0.0292773817883887,0.730944133784988,-0.398743015610222,-0.241733440693105,-0.379949841984363,-0.260526614318963,0.760611113866411,1.29445085115765e-15,3.60913658031458e-12,TRUE,TRUE,FALSE,0,0,0.749250488047524,"High","21+","Adequate (k>=5)",4,"High/Excellent"
"CD000028_pub4_5","CD000028_pub4",5,"logRR",13,-0.133542068333404,0.116187929259229,0.100182379030894,0.862244293960818,-0.361266225119781,0.0941820884529733,-0.3518207210725,0.0847365844056926,0.958522169186727,0.250406467129414,0.207290462356002,FALSE,FALSE,FALSE,0.0948172543666847,71.452323236289,0.84716291365481,"High","11-20","Adequate (k>=5)",4,"High/Excellent"
"CD002042_pub6_10","CD002042_pub6",10,"logRR",47,0.0222933554310657,0.0558402484504165,0.0500159546873013,0.895697209007102,-0.0871515204195193,0.131738231281651,-0.0783835396347567,0.122970250496888,0.919886785775766,0.689720401402885,0.657886851721955,FALSE,FALSE,FALSE,0.0175953057836595,17.0590841144598,0.824770208547872,"High","21+","Adequate (k>=5)",4,"High/Excellent"
"CD002042_pub6_11","CD002042_pub6",11,"logRR",33,0.0470509628843892,0.0638272759082534,0.0632114834201271,0.990352204768829,-0.0780481991270885,0.172150124895867,-0.0817066153836431,0.175808541152421,1.02924413079777,0.461024596253821,0.462101025335689,FALSE,FALSE,FALSE,0.0266774469760397,29.8217574270848,0.836247131878108,"High","21+","Adequate (k>=5)",4,"High/Excellent"
"CD002042_pub6_12","CD002042_pub6",12,"logRR",31,0.0383566987131339,0.0574598570305926,0.0493641359904707,0.859106488277344,-0.0742625516236483,0.150975949049916,-0.0624583165493131,0.139171713975581,0.895184570674772,0.504427871225397,0.443233737766127,FALSE,FALSE,FALSE,0.0111106508715102,13.9293413821564,0.778031112061231,"High","21+","Adequate (k>=5)",4,"High/Excellent"
"CD002042_pub6_13","CD002042_pub6",13,"logRR",19,-0.105534954957125,0.0553359770563478,0.0527893865020473,0.953979477913486,-0.213991477036902,0.00292156712265132,-0.216441340550079,0.00537143063582886,1.02258843881584,0.0564989522256661,0.0609186066218756,FALSE,FALSE,FALSE,0,0,0.741595550130333,"High","11-20","Adequate (k>=5)",4,"High/Excellent"
"CD002042_pub6_14","CD002042_pub6",14,"logRR",11,0.101257588896499,0.0779330727768058,0.0579537828223741,0.743635285475644,-0.0514884269505788,0.254003604743578,-0.0278714862296071,0.230386664022606,0.845384243968656,0.19384474724772,0.11118100425887,FALSE,FALSE,FALSE,0.012369138513562,24.0176735768693,0.666618281768571,"Moderate","11-20","Adequate (k>=5)",3,"Moderate"
"CD002042_pub6_15","CD002042_pub6",15,"logRR",26,0.0235309280143862,0.0281341003295945,0.0254540719081571,0.904740923290934,-0.0316108953690554,0.0786727513978278,-0.0288927144050179,0.0759545704337904,0.950705638710278,0.402938578062606,0.364091548282702,FALSE,FALSE,FALSE,0,0,0.38010472570931,"Low","21+","Adequate (k>=5)",2,"Low/Very Low"
"CD002042_pub6_16","CD002042_pub6",16,"logRR",7,0.0832801969113933,0.0502100274674757,0.0534033101574301,1.06359850513969,-0.015129648587626,0.181690042410413,-0.047392995603193,0.21395338942598,1.32784673984565,0.097189011184401,0.169904335310789,FALSE,FALSE,FALSE,0.00478519531826101,30.2529545643413,0.753861071425068,"High","6-10","Adequate (k>=5)",4,"High/Excellent"
"CD002042_pub6_17","CD002042_pub6",17,"logRR",36,0.0982233635540614,0.070339065807918,0.0530930545885965,0.754816032581142,-0.0396386721356506,0.236085399243773,-0.00956126750127659,0.206007994609399,0.781829678606592,0.162585979534033,0.0727676592732493,FALSE,FALSE,FALSE,0.000682176792444164,0.299092007963119,0.70759542050256,"High","21+","Adequate (k>=5)",4,"High/Excellent"
"CD002042_pub6_18","CD002042_pub6",18,"logRR",22,-0.0556880876657939,0.136739126337605,0.11783477775723,0.861748797972423,-0.323691850564972,0.212315675233384,-0.300738922880139,0.189362747548551,0.914355949944377,0.683818589695693,0.641376998548855,FALSE,FALSE,FALSE,0.0883631391643566,30.4362961069615,0.845640169136466,"High","21+","Adequate (k>=5)",4,"High/Excellent"
"CD002042_pub6_19","CD002042_pub6",19,"logRR",29,0.101247561636584,0.07026246164195,0.0579524625696438,0.824799775233657,-0.0364643326467652,0.238959455919933,-0.0174626765756962,0.219957799848864,0.862018773542014,0.149587278605831,0.0915853899661846,FALSE,FALSE,FALSE,0,0,0.757132572862863,"High","21+","Adequate (k>=5)",4,"High/Excellent"
"CD002042_pub6_20","CD002042_pub6",20,"logRR",39,0.0194964620816494,0.0368799310956532,0.0416278302368108,1.12873937125433,-0.0527868746181498,0.0917797987814485,-0.0647746745060687,0.103767598669367,1.16584458376217,0.597050403443266,0.642208651282898,FALSE,FALSE,FALSE,0.00999541133004508,26.9903304392798,0.804018191762827,"High","21+","Adequate (k>=5)",4,"High/Excellent"
"CD002042_pub6_21","CD002042_pub6",21,"logRR",21,-0.0156726683224986,0.0504437168816876,0.0438344569393946,0.868977538713203,-0.114540536656941,0.0831952000119442,-0.107109743228825,0.075764406583828,0.924841168791261,0.756031628950587,0.72443131951069,FALSE,FALSE,FALSE,0,0,0.809791218011791,"High","21+","Adequate (k>=5)",4,"High/Excellent"
"CD002042_pub6_22","CD002042_pub6",22,"logRR",19,0.0620715653854562,0.0499871529165132,0.0485718724195375,0.971687115300615,-0.035901454020606,0.160044584791518,-0.0399741519165259,0.164117282687438,1.04156958640868,0.214328681031134,0.217508602885744,FALSE,FALSE,FALSE,0,0,0.703821684894456,"High","11-20","Adequate (k>=5)",4,"High/Excellent"
"CD002042_pub6_23","CD002042_pub6",23,"logRR",13,0.117514575744912,0.0838967700770052,0.0876139681133004,1.04430680743589,-0.0469200720252556,0.28194922351508,-0.0733798620384021,0.308409013528227,1.1609137147916,0.161302483723129,0.20466477478552,FALSE,FALSE,FALSE,0.0141663763213102,17.6258785660882,0.721518427480958,"High","11-20","Adequate (k>=5)",4,"High/Excellent"
"CD002042_pub6_24","CD002042_pub6",24,"logRR",12,-0.023194019571576,0.0897654836990503,0.0549980354251936,0.612685780311519,-0.199131134676532,0.15274309553338,-0.144243879376621,0.0978558402334694,0.688029127525666,0.79611009223885,0.681349886916694,FALSE,FALSE,FALSE,0,0,0.396382890949357,"Low","11-20","Adequate (k>=5)",2,"Low/Very Low"
"CD002042_pub6_26","CD002042_pub6",26,"logRR",15,-0.0683688547143186,0.09779509113252,0.092106531834184,0.941831852371531,-0.26004371119887,0.123306001770233,-0.265917718062554,0.129180008633917,1.03064568285803,0.4844875800094,0.470188962404639,FALSE,FALSE,FALSE,0,0,0.589174928697496,"Moderate","11-20","Adequate (k>=5)",3,"Moderate"
