review_id,n_studies,doi,years
CD000028_pub4,16,10.1002/14651858.CD000028.pub4,1970
CD000028_pub4,16,10.1002/14651858.CD000028.pub4,2008
CD000143_pub2,9,10.1002/14651858.CD000143.pub2,1982
CD000143_pub2,9,10.1002/14651858.CD000143.pub2,2005
CD000219_pub5,17,10.1002/14651858.CD000219.pub5,1968
CD000219_pub5,17,10.1002/14651858.CD000219.pub5,2021
CD000478_pub5,10,10.1002/14651858.CD000478.pub5,1974
CD000478_pub5,10,10.1002/14651858.CD000478.pub5,2023
CD000547_pub3,39,10.1002/14651858.CD000547.pub3,1989
CD000547_pub3,39,10.1002/14651858.CD000547.pub3,2021
CD001072_pub2,1,10.1002/14651858.CD001072.pub2,1982
CD001072_pub2,1,10.1002/14651858.CD001072.pub2,1982
CD001155_pub3,104,10.1002/14651858.CD001155.pub3,1995
CD001155_pub3,104,10.1002/14651858.CD001155.pub3,2017
CD001321_pub7,38,10.1002/14651858.CD001321.pub7,1994
CD001321_pub7,38,10.1002/14651858.CD001321.pub7,2021
CD001396_pub4,28,10.1002/14651858.CD001396.pub4,1991
CD001396_pub4,28,10.1002/14651858.CD001396.pub4,2020
CD001431_pub6,188,10.1002/14651858.CD001431.pub6,1996
CD001431_pub6,188,10.1002/14651858.CD001431.pub6,2022
CD001533_pub7,49,10.1002/14651858.CD001533.pub7,1979
CD001533_pub7,49,10.1002/14651858.CD001533.pub7,2023
CD001552_pub3,14,10.1002/14651858.CD001552.pub3,1964
CD001552_pub3,14,10.1002/14651858.CD001552.pub3,2020
CD001703_pub4,20,10.1002/14651858.CD001703.pub4,1976
CD001703_pub4,20,10.1002/14651858.CD001703.pub4,2020
CD001797_pub4,8,10.1002/14651858.CD001797.pub4,1993
CD001797_pub4,8,10.1002/14651858.CD001797.pub4,2012
CD001837_pub4,72,10.1002/14651858.CD001837.pub4,1990
CD001837_pub4,72,10.1002/14651858.CD001837.pub4,2022
CD001909_pub4,14,10.1002/14651858.CD001909.pub4,1989
CD001909_pub4,14,10.1002/14651858.CD001909.pub4,2010
CD001920_pub4,196,10.1002/14651858.CD001920.pub4,1992
CD001920_pub4,196,10.1002/14651858.CD001920.pub4,2022
CD002042_pub6,66,10.1002/14651858.CD002042.pub6,1956
CD002042_pub6,66,10.1002/14651858.CD002042.pub6,2025
CD002052_pub4,6,10.1002/14651858.CD002052.pub4,1994
CD002052_pub4,6,10.1002/14651858.CD002052.pub4,2020
CD002112_pub2,81,10.1002/14651858.CD002112.pub2,1978
CD002112_pub2,81,10.1002/14651858.CD002112.pub2,2022
CD002115_pub6,21,10.1002/14651858.CD002115.pub6,1997
CD002115_pub6,21,10.1002/14651858.CD002115.pub6,2023
CD002122_pub3,32,10.1002/14651858.CD002122.pub3,1987
CD002122_pub3,32,10.1002/14651858.CD002122.pub3,2023
CD002203_pub5,12,10.1002/14651858.CD002203.pub5,2002
CD002203_pub5,12,10.1002/14651858.CD002203.pub5,2022
CD002243_pub5,78,10.1002/14651858.CD002243.pub5,1972
CD002243_pub5,78,10.1002/14651858.CD002243.pub5,2023
CD002290_pub6,57,10.1002/14651858.CD002290.pub6,1970
CD002290_pub6,57,10.1002/14651858.CD002290.pub6,2024
CD002303_pub4,8,10.1002/14651858.CD002303.pub4,1995
CD002303_pub4,8,10.1002/14651858.CD002303.pub4,2019
CD002971_pub6,12,10.1002/14651858.CD002971.pub6,1977
CD002971_pub6,12,10.1002/14651858.CD002971.pub6,2024
CD003129_pub2,5,10.1002/14651858.CD003129.pub2,1992
CD003129_pub2,5,10.1002/14651858.CD003129.pub2,2017
CD003214_pub4,1,10.1002/14651858.CD003214.pub4,1998
CD003214_pub4,1,10.1002/14651858.CD003214.pub4,1998
CD003216_pub3,32,10.1002/14651858.CD003216.pub3,1967
CD003216_pub3,32,10.1002/14651858.CD003216.pub3,2021
CD003218_pub3,6,10.1002/14651858.CD003218.pub3,1997
CD003218_pub3,6,10.1002/14651858.CD003218.pub3,2012
CD003331_pub6,55,10.1002/14651858.CD003331.pub6,1995
CD003331_pub6,55,10.1002/14651858.CD003331.pub6,2021
CD003333_pub4,4,10.1002/14651858.CD003333.pub4,2004
CD003333_pub4,4,10.1002/14651858.CD003333.pub4,2012
CD003357_pub5,9,10.1002/14651858.CD003357.pub5,1993
CD003357_pub5,9,10.1002/14651858.CD003357.pub5,2017
CD003376_pub4,26,10.1002/14651858.CD003376.pub4,1990
CD003376_pub4,26,10.1002/14651858.CD003376.pub4,2005
CD003414_pub4,29,10.1002/14651858.CD003414.pub4,1994
CD003414_pub4,29,10.1002/14651858.CD003414.pub4,2022
CD003429_pub5,3,10.1002/14651858.CD003429.pub5,2007
CD003429_pub5,3,10.1002/14651858.CD003429.pub5,2016
